# Iowa Hawkeyes Sports Events (2020-2025)
# Format: DATE | SPORT | OPPONENT | LOCATION | RESULT | EVENT_TYPE

# Baseball 2020-21 Season
2021-11-16 | BASKETBALL | NORTH CAROLINA CENTRAL | Iowa City, IA | W 86-69 | HOME_GAME
2021-11-18 | BASKETBALL | ALABAMA STATE | Iowa City, IA | W 108-82 | HOME_GAME
2021-11-22 | BASKETBALL | WESTERN MICHIGAN | Iowa City, IA | W 109-61 | HOME_GAME
2021-11-26 | BASKETBALL | PORTLAND STATE | Iowa City, IA | W 85-51 | HOME_GAME
2021-12-06 | BASKETBALL | ILLINOIS | Iowa City, IA | L 83-87 | HOME_GAME
2021-12-21 | BASKETBALL | SOUTHEASTERN LOUISIANA | Iowa City, IA | W 93-62 | HOME_GAME
2021-12-29 | BASKETBALL | WESTERN ILLINOIS | Iowa City, IA | W 92-71 | HOME_GAME
2022-01-03 | BASKETBALL | MARYLAND | Iowa City, IA | W 80-75 | HOME_GAME
2022-01-13 | BASKETBALL | INDIANA | Iowa City, IA | W 83-74 | HOME_GAME
2022-01-22 | BASKETBALL | PENN STATE | Iowa City, IA | W 68-51 | HOME_GAME
2022-01-27 | BASKETBALL | #6 PURDUE | Iowa City, IA | L 73-83 | HOME_GAME
2022-02-06 | BASKETBALL | MINNESOTA | Iowa City, IA | W 71-59 | HOME_GAME
2022-02-13 | BASKETBALL | NEBRASKA | Iowa City, IA | W 98-75 | HOME_GAME
2022-02-17 | BASKETBALL | MICHIGAN | Iowa City, IA | L 79-84 | HOME_GAME
2022-02-22 | BASKETBALL | MICHIGAN STATE | Iowa City, IA | W 86-60 | HOME_GAME
2022-02-28 | BASKETBALL | NORTHWESTERN | Iowa City, IA | W 82-61 | HOME_GAME

# Men's Basketball 2022-23 Season
2022-10-31 | BASKETBALL | TRUMAN STATE | Iowa City, IA | W 118-72 | HOME_GAME
2022-11-07 | BASKETBALL | BETHUNE-COOKMAN | Iowa City, IA | W 89-58 | HOME_GAME
2022-11-11 | BASKETBALL | NORTH CAROLINA A&T | Iowa City, IA | W 112-71 | HOME_GAME
2022-11-21 | BASKETBALL | OMAHA | Iowa City, IA | W 100-64 | HOME_GAME
2022-11-29 | BASKETBALL | GEORGIA TECH | Iowa City, IA | W 81-65 | HOME_GAME
2022-12-08 | BASKETBALL | #20 IOWA STATE | Iowa City, IA | W 75-56 | HOME_GAME
2022-12-11 | BASKETBALL | WISCONSIN | Iowa City, Iowa | L 75-78 | HOME_GAME
2022-12-17 | BASKETBALL | SOUTHEAST MISSOURI STATE | Iowa City, IA | W 106-75 | HOME_GAME
2022-12-21 | BASKETBALL | EASTERN ILLINOIS | Iowa City, IA | L 83-92 | HOME_GAME
